SYMBOL,COMPANY NAME,SERIES,PURPOSE,FACE VALUE,EX-DATE,RECORD DATE,BOOK CLOSURE START DATE,BOOK CLOSURE END DATE
RECLTD,REC Limited,EQ,Int Div-Rs.3/- Per Share Purpose Revised,10,04-Jan-10,05-Jan-10,-,-
LITL,Lanco Infratech Limited,EQ,Fv Split Rs.10 To Re.1,1,04-Jan-10,05-Jan-10,-,-
BBOX,Black Box Limited,EQ,Agm/Div-Rs.3.50 Per Share,2,04-Jan-10,-,06-Jan-10,29-Jan-10
AUTOAXLES,Automotive Axles Limited,EQ,Fin Div-Rs.2.70 Per Share,10,11-Jan-10,-,13-Jan-10,15-Jan-10
POWERGRID,Power Grid Corporation of India Limited,EQ,Int Div-Re.0.50 Per Sharepurpose Revised,10,11-Jan-10,12-Jan-10,-,-
BALRAMCHIN,Balrampur Chini Mills Limited,EQ,Agm/Div-Rs.3/- Per Share,1,12-Jan-10,-,14-Jan-10,29-Jan-10
WALCHANNAG,Walchandnagar Industries Limited,EQ,Dividend-Re.1/- Per Share,2,12-Jan-10,-,14-Jan-10,20-Jan-10
BANSWRAS,Banswara Syntex Limited,EQ,Int Div-Rs.1.50 Per Share,5,14-Jan-10,15-Jan-10,-,-
RELIGARE,Religare Enterprises Limited,EQ,Rights 2:3@Prem Rs.345/-,10,15-Jan-10,18-Jan-10,-,-
MASTEK,Mastek Limited,EQ,Int Div-Rs.2/- Per Share Purpose Revised,5,15-Jan-10,18-Jan-10,-,-
SUPREMEIND,Supreme Industries Limited,EQ,Int Div-Rs.5/- Per Share Purpose Revised,2,18-Jan-10,19-Jan-10,-,-
SIEMENS,Siemens Limited,EQ,Dividend-Rs.5/- Per Share,2,19-Jan-10,-,21-Jan-10,29-Jan-10
RML,Rane (Madras) Limited,EQ,Int Div-Rs.2.50 Per Sharepurpose Revised,10,21-Jan-10,23-Jan-10,-,-
WINSOMYARN,Winsome Yarns Limited,EQ,Fv Split Rs.10 To Re.1,1,21-Jan-10,22-Jan-10,-,-
SHPRE,Shree Precoated Steels Limited,EQ,Annual General Meeting,10,21-Jan-10,-,23-Jan-10,30-Jan-10
SEINVEST,S.E. Investments Limited,EQ,Int Div-Re.1/- Per Share Purpose Revised,1,21-Jan-10,22-Jan-10,-,-
NECLIFE,Nectar Lifesciences Limited,EQ,Int Div-Re.0.25 Per Sharepurpose Revised,1,21-Jan-10,22-Jan-10,-,-
IIFL,IIFL Finance Limited,EQ,2nd Int Div-Rs.1.80 Pr Shpurpose Revised,2,25-Jan-10,27-Jan-10,-,-
SHREECEM,SHREE CEMENT LIMITED,EQ,Int Div-Rs.5/- Per Share Purpose Revised,10,25-Jan-10,27-Jan-10,-,-
TVSMOTOR,TVS Motor Company Limited,EQ,Int Div-Re.0.70 Per Sharepurpose Revised,1,25-Jan-10,27-Jan-10,-,-
IPCALAB,IPCA Laboratories Limited,EQ,2nd Int Div-Rs.4/- Pr Shrpurpose Revised,1,27-Jan-10,28-Jan-10,-,-
TCS,Tata Consultancy Services Limited,EQ,3rd Int Div-Rs.2/- Pr Shr,1,27-Jan-10,28-Jan-10,-,-
BIRLANU,BirlaNu Limited,EQ,Int Div-Rs.6/- Per Share,10,27-Jan-10,28-Jan-10,-,-
PRAJIND,Praj Industries Limited,EQ,Int Div-Rs.1.44 Per Sharepurpose Revised,2,28-Jan-10,29-Jan-10,-,-
BAJAJELEC,Bajaj Electricals Limited,EQ,Fv Split Rs.10 To Rs.2,2,28-Jan-10,29-Jan-10,-,-
RBL,Rane Brake Lining Limited,EQ,Int Div-Rs.3/- Per Share Purpose Revised,10,28-Jan-10,29-Jan-10,-,-
SUNTV,Sun TV Network Limited,EQ,Int Div-Rs.1.50 Per Sharepurpose Revised,5,28-Jan-10,29-Jan-10,-,-
GANDHITUBE,Gandhi Special Tubes Limited,EQ,Div-Int Re 2.5+Spl Re 2.5purpose Revised,5,28-Jan-10,29-Jan-10,-,-
RANEENGINE,Rane Engine Valve Limited,EQ,Int Div-Rs.1.50 Per Sharepurpose Revised,10,28-Jan-10,29-Jan-10,-,-
HCLTECH,HCL Technologies Limited,EQ,2nd Int Div-Re.1/- Per Shpurpose Revised,2,29-Jan-10,01-Feb-10,-,-
PATELENG,Patel Engineering Limited,EQ,Interim Div-Rs.2/- Per Shpurpose Revised,1,29-Jan-10,01-Feb-10,-,-
SUNCLAYTON,Sundaram Clayton Limited,EQ,Int Div-Re.0.50 Per Sharepurpose Revised,5,29-Jan-10,01-Feb-10,-,-
GODREJCP,Godrej Consumer Products Limited,EQ,3rd Int Div-Re.1/- Pr Shrpurpose Revised,1,01-Feb-10,02-Feb-10,-,-
SHREEASHTA,Shree Ashtavinayak Cine Vision Limited,EQ,Bonus 4:1,1,01-Feb-10,02-Feb-10,-,-
TATAINVEST,Tata Investment Corporation Limited,EQ,Int Div-Rs.15 Per Share,10,01-Feb-10,02-Feb-10,-,-
SAIL,Steel Authority of India Limited,EQ,Int Div-Rs.1.60 Per Sharepurpose Revised,10,01-Feb-10,02-Feb-10,-,-
CONCOR,Container Corporation of India Limited,EQ,Int Div-Rs.6/- Per Share,5,01-Feb-10,02-Feb-10,-,-
DHAMPURSUG,Dhampur Sugar Mills Limited,EQ,Agm/Div-Rs.1.50 Per Sharebc Dates Revised,10,02-Feb-10,-,04-Feb-10,10-Feb-10
COROMANDEL,Coromandel International Limited,EQ,Int Div-Rs.6/- Per Share,1,02-Feb-10,03-Feb-10,-,-
HCL-INSYS,HCL Infosystems Limited,EQ,2nd Int Div-Rs.2/- Per Shpurpose Revised,2,02-Feb-10,03-Feb-10,-,-
HGM,HandsOn Global Management (HGM) Limited,EQ,Int Div-Rs.2/- Per Share Purpose Revised,10,02-Feb-10,03-Feb-10,-,-
RANEHOLDIN,Rane Holdings Limited,EQ,Int Div-Rs.6/- Per Share Purpose Revised,10,02-Feb-10,03-Feb-10,-,-
AARTIIND,Aarti Industries Limited,EQ,Int Div-Rs.1.80 Per Sharepurpose Revised,5,03-Feb-10,04-Feb-10,-,-
BEL,Bharat Electronics Limited,EQ,Int Div-Rs.6/- Per Share Purpose Revised,1,03-Feb-10,04-Feb-10,-,-
PFC,Power Finance Corporation Limited,EQ,Int Div-Rs.3/- Per Share Purpose Revised,10,03-Feb-10,04-Feb-10,-,-
HINDUJAFO,Hinduja Foundries Limited,EQ,Rights 7:13 @Prem Rs.40/-,10,03-Feb-10,04-Feb-10,-,-
KIRLOSOIL,Kirloskar Oil Engines Limited,EQ,Int Div-Rs.1.50 Per Share,2,03-Feb-10,04-Feb-10,-,-
EDELWEISS,Edelweiss Financial Services Limited,EQ,Int Div-Rs.2/- Per Share,1,03-Feb-10,04-Feb-10,-,-
ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,Int Div-Rs.2.50 Per Sharepurpose Revised,2,03-Feb-10,04-Feb-10,-,-
PAGEIND,Page Industries Limited,EQ,4th Int Div-Rs.6/- Per Shpurpose Revised,10,03-Feb-10,04-Feb-10,-,-
TCI,Transport Corporation of India Limited,EQ,Int Div-Re.0.40 Per Share,2,03-Feb-10,04-Feb-10,-,-
GLOBOFFS,Global Offshore Services Limited,EQ,2nd Int Div-Re.0.80 Pr Sh,10,03-Feb-10,04-Feb-10,-,-
DCHL,Deccan Chronicle Holdings Limited,EQ,3rd Int Div-Re.1/- Pr Shrpurpose Revised,2,04-Feb-10,05-Feb-10,-,-
DYNAMATECH,Dynamatic Technologies Limited,EQ,2nd Int Div-Rs.2.50 Pr Shpurpose Revised,10,04-Feb-10,05-Feb-10,-,-
KEMROCK,Kemrock Industries and Exports Limited,EQ,Int Div-Re.1/- Per Share Purpose Revised,10,04-Feb-10,05-Feb-10,-,-
EDUCOMP,Educomp Solutions Limited,EQ,Int Div-Re.1/- Per Share Purpose Revised,2,04-Feb-10,06-Feb-10,-,-
EIDPARRY,EID Parry India Limited,EQ,Int Div-Rs.6/- Per Share Purpose Revised,1,04-Feb-10,05-Feb-10,-,-
PRECWIRE,Precision Wires India Limited,EQ,Int Div-Rs.2.40 Per Sharepurpose Revised,1,04-Feb-10,05-Feb-10,-,-
NMDC,NMDC Limited,EQ,Int Div-Re.0.75 Per Share,1,04-Feb-10,05-Feb-10,-,-
KCP,KCP Limited,EQ,3rd Int Div-Rs.2.50 Pr Shpurpose Revised,1,04-Feb-10,05-Feb-10,-,-
PNB,Punjab National Bank,EQ,Int Div-Rs.10/- Per Share,2,04-Feb-10,06-Feb-10,-,-
CGPOWER,CG Power and Industrial Solutions Limited,EQ,2nd Int Div-Rs.1.40 Pr Shpurpose Revised,2,04-Feb-10,05-Feb-10,-,-
NILKAMAL,Nilkamal Limited,EQ,Int Div-Rs.2/- Per Share,10,04-Feb-10,05-Feb-10,-,-
POLARIS,POLARIS CONSULTING & SERVICES LIMITED,EQ,Int Div-Rs.1.75 Per Share,5,04-Feb-10,05-Feb-10,-,-
VIPIND,VIP Industries Limited,EQ,Int Div-Rs.2/- Per Share,2,04-Feb-10,05-Feb-10,-,-
NATCOPHARM,Natco Pharma Limited,EQ,Int Div-Rs.2/- Per Share,2,05-Feb-10,08-Feb-10,-,-
GFLLIMITED,GFL Limited,EQ,2nd Int Div-Re.1/- Per Sh,1,05-Feb-10,08-Feb-10,-,-
SBIN,State Bank of India,EQ,Int Div-Rs.10/- Per Share,1,05-Feb-10,-,09-Feb-10,13-Feb-10
AUROPHARMA,Aurobindo Pharma Limited,EQ,Int Div-Rs.3/- Per Share Purpose Revised,1,05-Feb-10,08-Feb-10,-,-
AMRUTANJAN,Amrutanjan Health Care Limited,EQ,Int Div-Rs.5/- Per Share,1,09-Feb-10,10-Feb-10,-,-
SMLISUZU,SML Isuzu Limited,EQ,Rights 19:50@Prem Rs.190,10,09-Feb-10,10-Feb-10,-,-
SUPRAJIT,Suprajit Engineering Limited,EQ,Div- Int Re.1+Spl Rs.1.25,1,09-Feb-10,10-Feb-10,-,-
GREAVESCOT,Greaves Cotton Limited,EQ,2nd Int Div-Rs.1.50 Pr Sh,2,09-Feb-10,10-Feb-10,-,-
SUNDARMFIN,Sundaram Finance Limited,EQ,Int Div-Rs.6/- Per Share Purpose Revised,10,09-Feb-10,10-Feb-10,-,-
SUNDRMFAST,Sundram Fasteners Limited,EQ,Int Div-Re.0.40 Per Share,1,09-Feb-10,10-Feb-10,-,-
BHEL,Bharat Heavy Electricals Limited,EQ,Int Div-Rs.11/- Per Share,2,09-Feb-10,10-Feb-10,-,-
HAVELLS,Havells India Limited,EQ,Int Div-Rs.1.25 Per Share,1,09-Feb-10,10-Feb-10,-,-
63MOONS,63 moons technologies limited,EQ,3rd Int Div-Rs.2/- Pr Shr,2,09-Feb-10,10-Feb-10,-,-
GAEL,Gujarat Ambuja Exports Limited,EQ,Int Div-Re.0.40 Per Share,1,09-Feb-10,10-Feb-10,-,-
GEODESIC,Geodesic Limited,EQ,Int Div-Re.0.75 Per Share,2,09-Feb-10,10-Feb-10,-,-
MPHASIS,MphasiS Limited,EQ,Dividend-Rs.3.50 Pr Share,10,10-Feb-10,-,13-Feb-10,24-Feb-10
KRBL,KRBL Limited,EQ,Fv Spl-Rs10tore1/Div-1.50,1,10-Feb-10,12-Feb-10,-,-
OIL,Oil India Limited,EQ,Int Div-Rs.18/- Per Share,10,10-Feb-10,11-Feb-10,-,-
CCCL,Consolidated Construction Consortium Limited,EQ,Fv Split Rs.10 To Rs.2,2,10-Feb-10,11-Feb-10,-,-
VATSALTD,Vatsa Corporations Limited,EQ,Annual General Meeting,1,10-Feb-10,-,13-Feb-10,20-Feb-10
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,EQ,Int Div-Re.1/- Per Share,2,11-Feb-10,15-Feb-10,-,-
IMPAL,India Motor Parts and Accessories Limited,EQ,Int Div-Rs.14/- Per Sharepurpose Revised,10,15-Feb-10,16-Feb-10,-,-
TVSSRICHAK,TVS Srichakra Limited,EQ,Int Div-Rs.10/- Per Sharepurpose  Revised,10,16-Feb-10,17-Feb-10,-,-
THIRUSUGAR,Thiru Arooran Sugars Limited,EQ,Dividend-Rs.4/- Per Share,10,16-Feb-10,-,18-Feb-10,25-Feb-10
STCINDIA,The State Trading Corporation of India Limited,EQ,Int Div-Rs.2.50 Per Share,10,17-Feb-10,18-Feb-10,-,-
SOLARINDS,Solar Industries India Limited,EQ,Int Div-Rs.3.50 Per Share,2,17-Feb-10,18-Feb-10,-,-
AMBUJACEM,Ambuja Cements Limited,EQ,Dividend-Rs.1.20 Pr Share,2,18-Feb-10,-,20-Feb-10,05-Mar-10
AIAENG,AIA Engineering Limited,EQ,Int Div-Re.0.80 Per Share,2,18-Feb-10,19-Feb-10,-,-
CASTROL,Castrol India Limited,EQ,Div-Fin Rs.5+Spl Rs.10   Purpose Revised,10,22-Feb-10,-,24-Feb-10,26-Feb-10
STERTOOLS,Sterling Tools Limited,EQ,Int Div-Rs.3/- Per Share Purpose Revised,2,22-Feb-10,23-Feb-10,-,-
MAWANASUG,Mawana Sugars Limited,EQ,Annual General Meeting,10,22-Feb-10,-,24-Feb-10,25-Feb-10
KMSUGAR,K.M.Sugar Mills Limited,EQ,Annual General Meeting,2,23-Feb-10,-,25-Feb-10,25-Feb-10
ANDHRAPAP,ANDHRA PAPER LIMITED,EQ,Rights-Eq3:11 & 1wrnt:1eq,2,23-Feb-10,24-Feb-10,-,-
ESCORTS,Escorts Kubota Limited,EQ,Dividend-Rs.1/- Per Share,10,25-Feb-10,-,01-Mar-10,12-Mar-10
MRF,MRF Limited,EQ,Fin Div-Rs.19/- Per Share,10,25-Feb-10,-,01-Mar-10,11-Mar-10
FCSSOFT,FCS Software Solutions Limited,EQ,Bonus 1:1,1,26-Feb-10,02-Mar-10,-,-
VISHALEXPO,Vishal Exports Overseas Limited,EQ,Annual General Meeting,1,02-Mar-10,-,04-Mar-10,10-Mar-10
DWARKESH,Dwarikesh Sugar Industries Limited,EQ,Agm/Div-Rs.1.50 Per Share,1,03-Mar-10,-,05-Mar-10,16-Mar-10
TV18BRDCST,TV18 Broadcast Limited,EQ,Rights 3:10 @Prem Rs.91.5,2,03-Mar-10,04-Mar-10,-,-
SUNDRMBRAK,Sundaram Brake Linings Limited,EQ,Int Div-Rs.4/- Per Share Purpose Revised,10,03-Mar-10,04-Mar-10,-,-
ABBOTINDIA,Abbott India Limited,EQ,Agm/Div-Rs.17/- Per Share,10,03-Mar-10,-,05-Mar-10,12-Mar-10
INDIANB,Indian Bank,EQ,Int Div-Rs.2.50 Per Share,10,04-Mar-10,05-Mar-10,-,-
ZENITHSTL,Zenith Steel Pipes & Industries Limited,EQ,Scheme Of Arrangement,10,04-Mar-10,05-Mar-10,-,-
NRC,NRC Limited,EQ,Annual General Meeting,10,04-Mar-10,-,08-Mar-10,17-Mar-10
EICHERMOT,Eicher Motors Limited,EQ,Dividend-Rs.7/- Per Share,1,05-Mar-10,-,09-Mar-10,15-Mar-10
CGPOWER,CG Power and Industrial Solutions Limited,EQ,Bonus 3:4,2,08-Mar-10,09-Mar-10,-,-
BRITANNIA,Britannia Industries Limited,EQ,Sch Of Agmt- Bonus Deb1:1,1,08-Mar-10,09-Mar-10,-,-
STLTECH,Sterlite Technologies Limited,EQ,Bon 1:1/Fv Spl Rs.5tors.2,2,09-Mar-10,10-Mar-10,-,-
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,EQ,Dividend-Rs.30/- Pr Share,10,10-Mar-10,-,12-Mar-10,25-Mar-10
BAJAJHIND,Bajaj Hindusthan Sugar Limited,EQ,Agm/Div-Re.0.70 Per Share,1,11-Mar-10,-,13-Mar-10,18-Mar-10
HELIOSMATH,Helios And Matheson Information Technology Limited,EQ,Agm/Fin Div-Re.1/- Pr Shr,10,11-Mar-10,-,15-Mar-10,25-Mar-10
DBCORP,D.B.Corp Limited,EQ,Int Div-Re.0.75 Per Share,10,11-Mar-10,12-Mar-10,-,-
BFUTILITIE,BF Utilities Limited,EQ,Scheme Of Arrangement,5,11-Mar-10,12-Mar-10,-,-
VALUEIND,Value Industries Limited,EQ,Agm/Div-Re.1/- Per Share,10,12-Mar-10,-,17-Mar-10,30-Mar-10
GUJRATGAS,Gujarat Gas Company Limited,EQ,Div - Fin Rs.3 + Spl Rs.5,2,12-Mar-10,-,17-Mar-10,19-Mar-10
CRISIL,CRISIL Limited,EQ,Dividend-Rs.25/- Pr Share,1,12-Mar-10,-,17-Mar-10,18-Mar-10
NLCINDIA,NLC India Limited,EQ,Int Div-Re.1/- Per Share,10,15-Mar-10,17-Mar-10,-,-
RENUKA,Shree Renuka Sugars Limited,EQ,Bonus 1:1,1,15-Mar-10,17-Mar-10,-,-
PIDILITIND,Pidilite Industries Limited,EQ,Bonus 1:1,1,15-Mar-10,17-Mar-10,-,-
LML,LML Limited,EQ,Annual General Meeting,10,15-Mar-10,-,18-Mar-10,25-Mar-10
PRSMJOHNSN,Prism Johnson Limited,EQ,2nd Int Div-Rs.1.50 P Shrpurpose Revised,10,15-Mar-10,17-Mar-10,-,-
HINDDORROL,Hindustan Dorr-Oliver Limited,EQ,Bonus 1:1,2,15-Mar-10,17-Mar-10,-,-
ARIHANT,Arihant Foundations & Housing Limited,EQ,Agm/Div-Rs.1/- Per Share,10,17-Mar-10,-,19-Mar-10,26-Mar-10
NTPC,NTPC Limited,EQ,Int Div-Rs.3/- Per Share Purpose Revised,10,18-Mar-10,19-Mar-10,-,-
PGHL,Procter & Gamble Health Limited,EQ,Dividend-Rs.20/- Pr Share,10,18-Mar-10,-,20-Mar-10,29-Mar-10
MURLIIND,Murli Industries Limited,EQ,Fv Split Rs.10 To Rs.2,2,18-Mar-10,19-Mar-10,-,-
IVRCLINFRA,IVRCL Limited,EQ,Bonus 1:1,2,18-Mar-10,19-Mar-10,-,-
VIDEOIND,Videocon Industries Limited,EQ,Agm/Div-Rs.2/Rh2:9@Prm215,10,18-Mar-10,-,22-Mar-10,30-Mar-10
SUPRAJIT,Suprajit Engineering Limited,EQ,Bon 1:1/Fv Spl Rs.5tore.1,1,18-Mar-10,20-Mar-10,-,-
THANGAMAYL,Thangamayil Jewellery Limited,EQ,Int Div-Rs.3/- Per Share Purpose Revised,10,19-Mar-10,22-Mar-10,-,-
LAKSHMIEFL,Lakshmi Energy and Foods Limited,EQ,Agm/Div-Re.0.50 Per Share,2,19-Mar-10,-,23-Mar-10,27-Mar-10
GODREJCP,Godrej Consumer Products Limited,EQ,Annual Book Closure,1,19-Mar-10,-,23-Mar-10,23-Mar-10
BLBLIMITED,BLB Limited,EQ,Int Div-Re.0.20 Pr Share,1,19-Mar-10,22-Mar-10,-,-
INSPIRISYS,Inspirisys Solutions Limited,EQ,Int Div-Rs.1.50 Per Share,10,19-Mar-10,22-Mar-10,-,-
LYKALABS,Lyka Labs Limited,EQ,Annual General Meeting,10,22-Mar-10,-,25-Mar-10,30-Mar-10
SUJANAUNI,Sujana Universal Industries Limited,EQ,Annual General Meeting,10,22-Mar-10,-,25-Mar-10,25-Mar-10
IPCALAB,IPCA Laboratories Limited,EQ,Fv Split Rs.10 To Rs.2,1,22-Mar-10,23-Mar-10,-,-
SMPL,Splendid Metal Products Limited,EQ,Annual General Meeting,5,22-Mar-10,-,25-Mar-10,25-Mar-10
SUJANATOW,Sujana Tower Limited,EQ,Annual General Meeting,1,22-Mar-10,-,25-Mar-10,25-Mar-10
KINETICMOT,Kinetic Motor Company Limited,EQ,Annual General Meeting,10,22-Mar-10,-,25-Mar-10,30-Mar-10
PSTL,Pyramid Saimira Theatre Limited,EQ,Annual General Meeting,10,22-Mar-10,-,25-Mar-10,30-Mar-10
NATIONALUM,National Aluminium Company Limited,EQ,Int Div-Rs.1.50 Per Sharepurpose Revised,5,23-Mar-10,25-Mar-10,-,-
ACC,ACC Limited,EQ,Dividend-Rs.13/- Pr Share,10,23-Mar-10,-,26-Mar-10,08-Apr-10
ADANIENT,Adani Enterprises Limited,EQ,Rights 1:16 @Prem Rs.474,1,23-Mar-10,25-Mar-10,-,-
SOFTTECHGR,Software Technology Group International Limited,EQ,Annual General Meeting,10,25-Mar-10,-,29-Mar-10,29-Mar-10
ENGINERSIN,Engineers India Limited,EQ,Spl Int Div-Rs.100 P Shr Purpose Revised,5,26-Mar-10,29-Mar-10,-,-
KMSUGAR,K.M.Sugar Mills Limited,EQ,Fv Split Rs.10 To Rs.2,2,26-Mar-10,29-Mar-10,-,-
M&M,Mahindra & Mahindra Limited,EQ,Fv Split Rs.10 To Rs.5,5,29-Mar-10,30-Mar-10,-,-
DHANUS,Dhanus Technologies Limited,EQ,Annual General Meeting,10,29-Mar-10,-,31-Mar-10,31-Mar-10
SCHAEFFLER,Schaeffler India Limited,EQ,Dividend-Rs.4.50 Pr Share,2,30-Mar-10,-,01-Apr-10,05-Apr-10
RELIGARE,Religare Enterprises Limited,EQ,Int Div-Rs.2/- Per Share,10,30-Mar-10,01-Apr-10,-,-
HONAUT,Honeywell Automation India Limited,EQ,Dividend-Rs.10 Per Share,10,31-Mar-10,-,06-Apr-10,15-Apr-10
BLUEDART,Blue Dart Express Limited,EQ,Agm/Div-Re.1/- Per Share,10,31-Mar-10,-,06-Apr-10,13-Apr-10
ZYDUSLIFE,Zydus Lifesciences Limited,EQ,Bonus 1: 2,1,05-Apr-10,06-Apr-10,-,-
SKFINDIA,SKF India Limited,EQ,Agm/Div-Rs.4/- Per Share,10,05-Apr-10,-,07-Apr-10,13-Apr-10
SEINVEST,S.E. Investments Limited,EQ,Fv Split Rs.10 To Rs.2,1,05-Apr-10,06-Apr-10,-,-
FOSECOIND,Foseco India Limited,EQ,Final Div-Rs.7/- Pr Share,10,05-Apr-10,-,07-Apr-10,16-Apr-10
ARSSINFRA,ARSS Infrastructure Projects Limited,EQ,Int Div-Rs.2/- Per Share,10,06-Apr-10,07-Apr-10,-,-
WYETH,Wyeth Limited,EQ,Agm/Div-Rs.20/- Per Share,10,06-Apr-10,-,08-Apr-10,21-Apr-10
UNITY,Unity Infraprojects Limited,EQ,Fv Split Rs.10 To Rs.2,2,07-Apr-10,08-Apr-10,-,-
SANOFI,Sanofi India Limited,EQ,Agm/Div-Rs.16.50 Pr Share,10,07-Apr-10,-,09-Apr-10,27-Apr-10
EXPLEOSOL,Expleo Solutions Limited,EQ,Int Div-Re.1/- Per Share,10,08-Apr-10,09-Apr-10,-,-
SRF,SRF Limited,EQ,2nd Int Div-Rs.7/- Pr Shr,10,08-Apr-10,09-Apr-10,-,-
COLPAL,Colgate Palmolive (India) Limited,EQ,3rd Int Div-Rs.5/- Pr Shrpurpose Revised,1,08-Apr-10,09-Apr-10,-,-
HEUBACHIND,Heubach Colorants India Limited,EQ,Dividend-Rs.15 Per Share,10,09-Apr-10,-,13-Apr-10,23-Apr-10
CASTROL,Castrol India Limited,EQ,Bonus 1:1,10,09-Apr-10,12-Apr-10,-,-
GSKCONS,GlaxoSmithKline Consumer Healthcare Limited,EQ,Agm/Div-Rs.18/- Per Share,10,09-Apr-10,-,13-Apr-10,23-Apr-10
ALFALAVAL,Alfa Laval (India) Limited,EQ,Dividend-Rs.25/- Pr Share,10,12-Apr-10,-,14-Apr-10,28-Apr-10
ESABINDIA,Esab India Limited,EQ,Annual General Meeting,10,12-Apr-10,-,15-Apr-10,22-Apr-10
ACE,Action Construction Equipment Limited,EQ,Int Div-Rs.1/- Per Share Purpose Revised,2,12-Apr-10,14-Apr-10,-,-
HEROMOTOCO,Hero MotoCorp Limited,EQ,Spl Div-Rs.80/- Per Share,2,13-Apr-10,15-Apr-10,-,-
GVT&D,GE Vernova T&D India Limited,EQ,Dividend-Rs.1.80 Pr Share,2,13-Apr-10,-,16-Apr-10,23-Apr-10
ZEEMEDIA,Zee Media Corporation Limited,EQ,Scheme Of Arrangement,1,15-Apr-10,16-Apr-10,-,-
BPLENGG,BPL Engineering Limited,EQ,Annual General Meeting,10,15-Apr-10,-,19-Apr-10,23-Apr-10
KSB,Ksb Limited,EQ,Agm/Div-Rs.10.5 Per Share,2,15-Apr-10,-,19-Apr-10,29-Apr-10
STYRENIX,Styrenix Performance Materials Limited,EQ,Dividend-Rs.3.50 Pr Share,10,15-Apr-10,-,19-Apr-10,23-Apr-10
PFIZER,Pfizer Limited,EQ,Div-Rs.12.50 Per Share,10,15-Apr-10,-,17-Apr-10,26-Apr-10
VESUVIUS,Vesuvius India Limited,EQ,Dividend-Rs.3.75 Pr Share,1,16-Apr-10,-,20-Apr-10,27-Apr-10
XCHANGING,Xchanging Solutions Limited,EQ,Annual General Meeting,10,16-Apr-10,-,20-Apr-10,26-Apr-10
HUHTAMAKI,Huhtamaki India Limited,EQ,Div-Fin Rs.2 + Spl Re.1,2,16-Apr-10,-,20-Apr-10,27-Apr-10
TIMKEN,Timken India Limited,EQ,Annual General Meeting,10,19-Apr-10,-,21-Apr-10,28-Apr-10
HEXAWARE,Hexaware Technologies Limited,EQ,Dividend-Re.0.80 Pr Share,2,20-Apr-10,-,22-Apr-10,29-Apr-10
NISSAN,Nissan Copper Limited,EQ,Int Div-Re.0.50 Per Share,1,20-Apr-10,21-Apr-10,-,-
KOHINOOR,Kohinoor Foods Limited,EQ,Annual General Meetings,10,20-Apr-10,-,22-Apr-10,29-Apr-10
SUNTECK,Sunteck Realty Limited,EQ,Int Div-Rs.0.12 Per Share,1,21-Apr-10,22-Apr-10,-,-
ADVANTA,Advanta Limited,EQ,Agm/Div-Rs.1/- Per Share,2,21-Apr-10,-,23-Apr-10,29-Apr-10
CEMPRO,Cemindia Projects Limited,EQ,Agm/Div-Re.1/- Per Share,1,21-Apr-10,-,23-Apr-10,27-Apr-10
ALICON,Alicon Castalloy Limited,EQ,Scheme Of Arrangement,5,21-Apr-10,22-Apr-10,-,-
SIYSIL,Siyaram Silk Mills Limited,EQ,Int Div-Rs.6/- Per Share Purpose Revised,2,22-Apr-10,23-Apr-10,-,-
BALKRISIND,Balkrishna Industries Limited,EQ,Int Div-Rs.7/- Per Share Purpose Revised,2,22-Apr-10,23-Apr-10,-,-
KPRMILL,K.P.R. Mill Limited,EQ,Int Div-Rs.4/- Per Share Purpose Revised,1,22-Apr-10,23-Apr-10,-,-
CRISIL,CRISIL Limited,EQ,Div- Int Rs.25+Spl Rs.100purpose Revised,1,22-Apr-10,23-Apr-10,-,-
NESTLEIND,Nestle India Limited,EQ,Div-Fin Rs.12.5+Int Rs.9 Purpose Revised,1,23-Apr-10,-,27-Apr-10,28-Apr-10
MYSOREBANK,State Bank of Mysore,EQ,Dividend-Rs.10/- Pr Sharepurpose Revised,10,26-Apr-10,-,28-Apr-10,04-May-10
HCLTECH,HCL Technologies Limited,EQ,Int Div-Re.1/- Per Share Purpose Revised,2,26-Apr-10,27-Apr-10,-,-
DENORA,De Nora India Limited,EQ,Annual General Meeting,10,26-Apr-10,-,28-Apr-10,30-Apr-10
SBBJ,State Bank of Bikaner and Jaipur,EQ,Dividend-Rs.14.40 Pr Shr Purpose Revised,10,28-Apr-10,-,30-Apr-10,07-May-10
GMBREW,GM Breweries Limited,EQ,Dividend-Rs.2/- Per Share,10,28-Apr-10,-,30-Apr-10,06-May-10
SBT,State Bank of Travancore,EQ,Dividend-Rs.16/- Pr Sharepurpose Revised,10,28-Apr-10,-,30-Apr-10,06-May-10
RANBAXY,Ranbaxy Laboratories Limited,EQ,Annual General Meeting,5,29-Apr-10,-,03-May-10,10-May-10
ZEEL,Zee Entertainment Enterprises Limited,EQ,Spl Int Div-Rs.2/- Pr Shr,1,29-Apr-10,30-Apr-10,-,-
CHEMFALKAL,Chemfab Alkalis Limited,EQ,Dividend-Rs.2.50 Pr Share,5,29-Apr-10,-,01-May-10,07-May-10
GODREJCP,Godrej Consumer Products Limited,EQ,4th Int Div-Re.1.25 Pr Shpurpose Revised,1,03-May-10,04-May-10,-,-
